content,product_name
"Barang sesuai gambar, pengiriman sesuai jadwal",Tenda S105 Switch Hub 5 Port Ethernet Switch - White
"barang cepat sampai, walau L2 agak keras overall good.. semoga awet!",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
Produk dan pengiriman baik,TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
"barang sesuai, bekerja dengan baik",USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
bingung install softwarenya gak komplit atau memang gak support di windows 8,4.0 Bluetooth CSR 4.0 Dongle&#40;usb kecil&#41;
"Pengiriman cepat sekai 
Barang belum di coba 👍🏻",Tenda N301 3 in 1 Wireless ROUTER+Access Point+EXTENDER WIFI 301 AP
Untuk harga segini sangat recommended,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"Ga kedetect
Ga bisa dipake
zzzzzz",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"proses cepat, sesuai pesanan",TINTA EPSON 774 BLACK / T7741 ORIGINAL 100%
terima kasih gan barang sudah ane terima .. tapi blm ane gunain.. masih terbungkus dgn rapi..,Kabel Printer LPT to USB / USB to Pararel Converter
barang cepet dikirim .. gk nunggu lama...hari ini tranfer besok dh nyampe.,Alfalink EI 212 - Kamus Elektronik
"Barng sudah sampai dengan aman, ini baru charge 30menit an kok puanas yo,opo gak overheat nantinya",Adaptor Toshiba Mini NB200 NB205 NB250 NB300 NB305 NB500 NB520 Series
"T
E
R
I
M
A


K
A
S
I
H



T
E
R
I
M
A


K
A
S
I
H






T
E
R
I
M
A


K
A
S
I
H",TINTA EPSON 774 BLACK / T7741 ORIGINAL 100%
mantabbbbb packing rapat dan respone super duperrre,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
seller sangat responsive dan baik sekali kepada customer,Adaptor Charger Asus X540 X540L X540LA X540SA 19V 2.37A
Sesuai deskripsi. Original pula.,TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
"Sudah lebih dari 3x pesan di sini. Selalu cepat sampai, barang tidak pernah ada masalah",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
Barang sesuai dengan yang saya pesan Barang istimewa bagus dan Rapi semoga awet,Tenda AC6 Dual Band AC1200 Mbps GIGABIT Wifi ROUTER EXTENDER Repeater
Mantapppppppp.....biar bintang berbicara,Adaptor Charger Laptop Lenovo 20V-3.25/15V 3A/9V-2A/5V-2A Type USB-C
barang ok. pengiriman cepat. moga lancar,"Keyboard Laptop ASUS X455, X455L, X455LA, X455LB, X455LC X455LD X455LF"
"Penjual fast shipper, tapi kablenya ngak setebel cable lan saya...",Kabel LAN UTP 30M RJ45 Cat 5e Cable 30 Meter terpasang konektor cat5e
"paket sudah diterima, sesuai dengan yang diiklankan. trims",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"berfungsi dengan baik, mudah2an awet",Adaptor charger Original Acer 4315 4710 4720 4730 4520 4530 4732z
"packing ok, cepet sampe",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"Barang oke dan bagus, pengirimannya jg memuaskan.",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"Di deskripsi nya sih up to 100 mbps, ternyata speednya biasa aja, tp mudah2an awet aja lah",SANDISK ULTRA FLASDISK 64 GB USB 3.0 UP TO 100MBPS ORIGINAL
Paket sudah sampai tinggal di pasang,Kabel LAN 5M Cat5E 5Meter UTP Cable 5 M Network 5 Meter
"Produknya ori dan harga bersaing. Dan yang paling penting, adminnya quick respons dan sabar dalam menjawab pertanyaan. Rekomen deh",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"Kiriman cepat, keyboard yg dikirim masih mentahan, tidak ada lapis plat seperti di foto yg ditawarkan, jadi harus modif dulu kanibal plat dari keyboard lamanya, cuma tidak bisa nempel sempurna, krn bukan pasangannya.
Keyboard berfungsi dengan baik, semoga kedepannya bisa lebih detail lagi info barang yg di tawarkan, semoga semakin sukses sellernya","Keyboard Laptop HP Pavilion 14-G102AU, G008AU, G006AU, 14-G, 14-G000"
Barang work pengiriman sangat cepat,Tenda Outdoor Cpe 03 5km outdoor point to point Cpe
Barang ori dan proses cepat. Pertahankan bos,CATRIDGE CANON PG 47 BLACK ORIGINAL 100%
"Ok,.......................",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
Mantab...barangnya sesuai...pengirimannya jg cepat sampai,Adaptor Charger Laptop Toshiba Satellite L510 A200 L500 L505 L515 OEM
"Barang sampai, semoga awet",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
Barang nya sampai jne yang salah mungkin gara² ke lempar atau apa jadi gak bisa di pakai,Speaker komputer/speaker laptop/speaker aktif/Speaker pc/speaker murah
Barang udah datang tapi belum di tes. Overall ok,ADAPTOR ORIGINAL HP Elitebook G1 G2 Series - 720 725 740 745 750 755
Sesuai dengan pesanan. Dan fast respon,Lec LCD Acer E3-111 E11 ES1-111 CU5A E3-112-CU5P
mantap sangat cepat proses nya,Kabel LAN/UTP 20 Meter Cat5E Siap Pakai  Kabel LAN dengan Kepala Konek
Produk telah sampai dengan baik terima kasih.,Lan Tester Alat Penguji Kabel Lan RJ45 RJ11
Mantab... Berfungsi dengan baik.... Thanks gan...,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"Belum dites semoga bisa, terimakasih",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
Recomanded seller....,KABEL LAN 3M CAT 5E / KABEL UTP 3 METER PABRIKAN
"reapon cepat, kualitas lumayan.",Alfalink EI 16 S - Kamus Elektronik
packaging rapih cepat sampai tujuan.....,HP Ink Cartridge 678 Black / Tinta HP 678 hitam / HP 678 BK Original
Pengiriman luar biasa cepat. Barang tlh diterima dgn baik. Tks,Range Extender/ Repeater TENDA A9 A301 Penguat Signal Wifi OEM TPLINK
"Pengiriman cepat, kemasan baik",HP Ink Cartridge 678 Black / Tinta HP 678 hitam / HP 678 BK Original
berfungsi dengan baik untuk sekarang (dan semoga untuk kedepannya. seller oke sangat dan responsif. recommended lah ya,Lan Tester Alat Penguji Kabel Lan RJ45 RJ11
Sesuai dengan deskripsi.  Thank you :-),USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"Bagus, ada garansinya. Thanks.",Alfalink EI 212 - Kamus Elektronik
barang cukup baik dan sampai tepat waktu,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"Produknya pas ,, makasi agan","Keyboard Laptop ASUS X452, X452E, X452EA, X452C, X452CP AMD Intel"
"Barang sudah diterima, terima kasih",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
recomended seller fast response,USB HUB 3.0 7 port by DIGIGEAR HIGH SPEED 1.2 meter
Fast respond recommended seller,"[SONIC GEAR] NEW TITAN 5 BTMI Multimedia Speaker FM Radio, USB, Memory"
"pengiriman nya cepat, dan paking nya bagus",Led lcd Asus vivobook A407 Small Frame 30Pin Resolusi &#40;1366 x768 &#41;
"barang SDH tiba , blom sempat pasang","Keyboard Laptop ASUS X452, X452E, X452EA, X452C, X452CP AMD Intel"
"barang bagus, sampe alamat",USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"Paket sudah sampe gan.. tp gojeknya lama bener.. dari siang di kirim, malam baru sampe.",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"Barang sesuai dengan pesanan, thx tokopedia.","USB 2.0 Type A to Mini B 5-Pin Cable Data for Canon DSLR/Printer 1,5M"
"Brg sudah sampai,,,,,, very2 fast",joystick / gamepad / stick laptop notebook pc single analog usb
"Produk tidak pernah diterima, keterangan tokonya bahwa sudah dipickup menipu, toko tidak komunikatif dengan customernya","Adaptor Charger HP PROBOOK 430 G1, 430 G2, 440 G0, 440 G1, Series ORIG"
"Beli siang sore nyampe. Top lah seller nya fast respon. Barang diterima baik
Awalnya ragu karna bentuknya ga sama. Tapi pas dipake berfungsi sebagaimama mestinya
Semoga awet. Thanks",Adaptor TV LG Original 19V 1.7A
Respon cepat dan barang sampai,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
mantap! sehari sampe. overall bagus. led berfungsi semua. colokannya berfungsi. semoga awet.,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
Barang sudah diterima thx,TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
Paket sudah diterima... jasa pengiriman tidak sesuai dengan yang diminta,KEYBOARD ASUS X441 X441S X441SA X441SC X441U X441UA A441 A441U A441S
Makasih gan barang cepat sampai,Mouse Gaming X-Craft Powerlogic 5000 Morrologic Macro X-tron Alcatroz
"Packing rapih, cepat sampai mo order yg lain lagi. Ada wifi gak ?",Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
"Trims,....pengiriman barangnya sudah diterima  dengan cepat.",Alfalink EI 21SE - Kamus Elektronik Electronic Dictionary EI-21SE
"barang sesuai pesanan, packing rapi. makasih gan","Keyboard Laptop Asus A450L, A450LA, A450LB, A450LC, A450LD, A450LF"
Barang sdh diterima. Sangat Cepat Response nya.,Baterai Toshiba Satellite Original PA3817U PA3817 PA3817U-1BRS
Barang sesuai..bagus pelayanan..,Konektor RJ45 AMP / Connector RJ 45 AMP Per Pack Isi 50pcs
"Bagus, barang sesuai pesanan.. Terimakasih",mouse gaming wireless rexus avenger RX-110 - Hitam
Barang sampai dengan selamat. Sesuai pesanan. Fast respon.,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"semuanya OK,respon cepet. bakal belanja disini lagi dahhh",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
Barang cepat mendarat aman... Thanks rekomendasi banget sukses trs ya.,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"Barang sudah sampai pengiriman cepat barang sesuai deskripsi, ini order yg  ke 2x nya. Semoga sukses buat tokonya.",TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
"barang sesuai, sudah dipasang dan sudah berfungsi baik",Baterai ORIGINAL Asus A455 X455 C21N1409 Tablet Series &#40;4 CELL&#41;
"Barang berfungsi dengan baik, cuman ga ada tombol on/off nya ya 😂 .. sesuai lah sama harga, lumayan lah.. 👍👍",DELUX M136 - Mouse Delux Wireless Optical
Mantapzzzzzz abissssssssss,USB HUB 3.0 7 port by DIGIGEAR HIGH SPEED 1.2 meter
respon cepat... barang okeeeee,Baterai original SONY VAIO VGP-BPS21 VGP-BPS21A VGP-BPS21B VGP-BPS13
Terima kasih. Sudah sesuai,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"Barang dah sampe, makasih ya",TP-LINK TL-WR 840N 300MBps Wireless Router
Pengiriman sangat cepat dan barang cukup memuaskan,Gamepad Double Mtech/Joystick/Gamepad Double Hitam M-Tech/Pc Laptop
"warna sesuai, respon cepat, terima kasih.",Mouse wireless / Bluetooth Airmouse Alcatroz by Powerlogic Resmi murah
"Sesuai dengan deskripsi, kualitas sesuai harga, beli 2 pcs, sayangnya salah satu tombol startnya mati, overall oke, pengiriman super cepat, thankyou",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
